Reason,City,Total
Food & Meals,Vancouver,781
Food & Meals,Surrey,326
Food & Meals,Victoria,157
Food & Meals,Burnaby,121
Food & Meals,Unknown,101
Food & Meals,New Westminster,100
Food & Meals,Nanaimo,87
Food & Meals,Langley,74
Food & Meals,North Vancouver,68
Food & Meals,Abbotsford,56
Food & Meals,Chilliwack,52
Food & Meals,Coquitlam,45
Food & Meals,Kelowna,41
Food & Meals,Richmond,41
Food & Meals,Kamloops,38
Food & Meals,Prince George,27
Food & Meals,Port Coquitlam,26
Food & Meals,White Rock,25
Food & Meals,Maple Ridge,24
Food & Meals,Courtenay,24
Food & Meals,Vernon,21
Food & Meals,Penticton,21
Food & Meals,Delta,20
Food & Meals,Mission,18
Food & Meals,Sooke,16
Food & Meals,Duncan,14
Food & Meals,Esquimalt ,14
Food & Meals,Port Alberni,12
Food & Meals,Parksville,11
Food & Meals,Saanich,11
Food & Meals,Cranbrook,10
Food & Meals,Powell River,9
Food & Meals,Quesnel,9
Food & Meals,Saanichton,8
Food & Meals,Campbell River,8
Food & Meals,Hope,8
Food & Meals,Langford,7
Food & Meals,Dawson Creek,7
Food & Meals,Oliver,7
Food & Meals,Sidney,7
Food & Meals,Vanderhoof,6
Food & Meals,Salmon Arm,6
Food & Meals,Sechelt,6
Food & Meals,Fort St John,6
Food & Meals,Coal Harbour,6
Food & Meals,Nelson,6
Food & Meals,100 Mile House,5
Food & Meals,Comox,5
Food & Meals,West Vancouver,5
Food & Meals,West Kelowna,4
Food & Meals,Whitehorse,4
Food & Meals,Williams Lake,4
Food & Meals,Smithers,4
Food & Meals,Port Mcneill,4
Food & Meals,Port Moody,4
Food & Meals,Merritt,4
Food & Meals,Invermere,3
Food & Meals,Kitimat,3
Food & Meals,Lake Country,3
Food & Meals,Coombs,3
Food & Meals,Chemainus,3
Food & Meals,Qualicum,3
Food & Meals,Terrace,3
Food & Meals,Summerland,3
Food & Meals,Trail,2
Food & Meals,Rutland,2
Food & Meals,Watson Lake,2
Food & Meals,Revelstoke,2
Food & Meals,Masset,2
Food & Meals,Prince Rupert,2
Food & Meals,Salmo,2
Food & Meals,Port Hardy,2
Food & Meals,Port Alice,2
Food & Meals,Pitt Meadows,2
Food & Meals,Oak Bay,2
Food & Meals,Okanagan Falls,2
Food & Meals,Creston,2
Food & Meals,Edmonton,2
Food & Meals,Agassiz,2
Food & Meals,Armstrong,2
Food & Meals,Houston,2
Food & Meals,Keremeos,2
Food & Meals,Grand Forks,2
Food & Meals,North Saanich,2
Food & Meals,Logan Lake,2
Food & Meals,Lumby,1
Food & Meals,Mackenzie,1
Food & Meals,Malahat,1
Food & Meals,Marysville,1
Food & Meals,Mill Bay,1
Food & Meals,Montrose,1
Food & Meals,Mount Currie,1
Food & Meals,Granisle,1
Food & Meals,Hazelton,1
Food & Meals,Horsefly,1
Food & Meals,Kitamaat Village,1
Food & Meals,Lake Cowichan,1
Food & Meals,Lac La Hache,1
Food & Meals,Ladysmith,1
Food & Meals,Laval,1
Food & Meals,Lillooet,1
Food & Meals,Lions Bay,1
Food & Meals,Black Creek,1
Food & Meals,150 Mile House,1
Food & Meals,Burns Lake,1
Food & Meals,Calgary,1
Food & Meals,Cobble Hill,1
Food & Meals,Clearwater,1
Food & Meals,Cassidy,1
Food & Meals,Cawston,1
Food & Meals,Chase,1
Food & Meals,Enderby,1
Food & Meals,Golden,1
Food & Meals,Fort St James,1
Food & Meals,Crofton,1
Food & Meals,Osoyoos,1
Food & Meals,Peachland,1
Food & Meals,Peers,1
Food & Meals,Pemberton,1
Food & Meals,Port Renfrew,1
Food & Meals,Rock Creek,1
Food & Meals,Rossland,1
Food & Meals,Sicamous,1
Food & Meals,Saltspring Island,1
Food & Meals,Savona,1
Food & Meals,Red Deer,1
Food & Meals,View Royal,1
Food & Meals,Wasa,1
Food & Meals,Sunset Prairie,1
Food & Meals,Squamish,1
Food & Meals,Ymir,1
Food & Meals,Whistler,1
