Market,Address,City
South Cariboo Farmers’ Market,275 Wranglers Way,100 Mile House
Lillooet Farmers’ Market,620 Main St.,Lilooet
Two Rivers Farmers’ Market,380 Main St.,Lytton
McLeese Lake Farmers’ Market,6561 Macalister Road,Cariboo D
Quesnel Farmers’ Market,Corner of Carson Avenue and Kinchant Street,Quesnel
Cariboo Direct Farm Market in Williams Lake,525 Proctor St.,Williams Lake
Downtown Farmers Market,750 Hornby St.,Vancouver
False Creek Farmers Market,50 Pacific Blvd,Vancouver
Granville Island Farmers’ Market,1404 Anderson St.,Vancouver
Hastings Park Winter Farmers’ Market,2901 East Hastings St.,Vancouver
Kitsilano Farmers’ Market,2690 Larch St.,Vancouver
Mount Pleasant Farmers’ Market,8th Ave & Guelph St,Vancouver
Riley Park Farmers’ Market - Summer,50 East 30th Ave.,Vancouver
Riley Park Farmers’ Market – Winter,4601 Ontario St.,Vancouver
Trout Lake Farmers’ Market (East Van),Lakewood Dr. & E 13th Ave,Vancouver
UBC Farm Saturday Farmers’ Market,3461 Ross Dr.,Vancouver
West End Farmers’ Market,1100 Comox St.,Vancouver
Abbotsford Farm & Country Market,2552 McCallum Rd,Abbotsford
Downtown Chilliwack Community Market,9360 Mill St.,Chilliwack
The Eco Market,Sardis Park,Chilliwack
Mission City Farmers’ Market,7337 Welton St,Mission
Cranbrook Farmer’s Market,10th Ave. South,Cranbrook
Creston Valley Farmers’ Market - Summer,111 Northwest Blvd.,Creston
Creston Valley Farmers’ Market – Winter,312 19th Ave. North,Creston
Fernie Mountain Market,Rotary Park,Fernie
Golden Farmers’ Market - Summer,550 8th Ave North,Golden
Golden Farmers’ Market – Winter,Golden Mt. 7 Rec. Plex,Golden
Grand Forks Farmers’ Market,7370 5th St.,Grand Forks
Agri Park Farmers’ Market,"553 Hwy. 93 & 95, Windermere",Invermere
Kaslo Saturday Market,450 Front St.,Kaslo
Kimberley Farmers’ Market,Howard St. between Kimberley Ave. and Wallinger Ave.,Kimberley
Nakusp Farmers’ Market,608 Broadway Street,Nakusp
Nelson Farmers’ Market,199 Carbonate St,Nelson
New Denver Friday Market,317 6th Avenue,New Denver
Revelstoke Farm and Craft Market,Grizzly Plaza,Revelstoke
Revelstoke Local Food Initiative Farmers’ Market,Centennial Park,Revelstoke
Trail’s IncrEDIBLE Farmers’ Market,Helena St. and Bay Ave.,Trail
Valemount Farmers’ Market,735 Cranberry Lake Rd.,Valemount
Bowen Island Farmers’ Market,1041 Mt Gardner Rd,Bowen Island
Burnaby Farmers’ Market,4949 Canada Way,Burnaby
Nikkei Garden Farmers Market,6688 Southoaks Crescent,Burnaby
Coquitlam Farmers Market,575 Poirier Street,Coquitlam
Ladner Village Market,48th Ave.,Delta
Fort Langley Village Farmers’ Market,9025 Glover Rd.,Fort Langley
Langley Community Farmers’ Market,21559 Fraser Hwy.,Langley
