BN/Registration Number,Designation code,Category code,Category,Sub-category code,Sub-Category,Legal name,Account name,Registration date,Language,Mailing address,City,Province,Postal code,Country,Contact Phone,Contact Email,Contact URL
100110626RR0001,C,1,Organizations Relieving Poverty,99,Other,ALBERNI VALLEY SENIOR CITIZENS HOMES SOCIETY,ALBERNI VALLEY SENIOR CITIZENS HOMES,1993-02-23 0:00,1,3245 THIRD AVENUE,PORT ALBERNI,BC,V9Y4C9,CA,(250)723-2471,INFO@DAVIDOSCIENNY.CA,
100773365RR0001,A,210,Foundations,2,Humanitarian assistance (outside of Canada),CANADIAN TURFGRASS RESEARCH FOUNDATION,CANADIAN TURFGRASS RESEARCH FOUNDATION,1977-01-01 0:00,1,PO BOX 698,HOPE,BC,V0X1L0,CA,,,
101476083RR0001,C,200,Public Amenities,7,Orphanage,DOWNTOWN BLANSHARD ADVISORY COMMITTEE,Downtown Blanshard Advisory Committee,1977-04-01 0:00,1,901 KINGS ROAD,VICTORIA,BC,V8T1W5,CA,(250)388-7696,ADMIN@QUADRAVILLAGECC.COM,WWW.QUADRAVILLAGECC.COM
101538502RR0001,C,1,Organizations Relieving Poverty,9,Providing low-cost housing,EAGLE VALLEY SENIOR CITIZENS HOUSING SOCIETY,EAGLE VALLEY SENIOR CITIZENS HOUSING SOCIETY,1991-01-01 0:00,1,1095 SHUSWAP AVE,SICAMOUS,BC,V0E2V1,CA,,,
103400834RR0001,C,160,Community Resource,99,Other,BRITISH COLUMBIA SELF ADVOCACY FOUNDATION,BRITISH COLUMBIA SELF ADVOCACY FOUNDATION,2011-12-23 0:00,1,227 6TH STREET,NEW WESTMINSTER,BC,V3L3A5,CA,(604)777-9100,INFO@BCSAF,WWW.BCSAF.ORG
103997607RR0001,C,100,Core Health Care,1,"Facilitator organization supporting, improving, and enhancing the work of groups involved in the relief of poverty",ONE WAY CLUB,ONE WAY CLUB SOCIETY,1993-01-01 0:00,1,22270 NORTH AVENUE,MAPLE RIDGE,BC,V2X2L5,CA,,,
104304464RR0001,C,1,Organizations Relieving Poverty,99,Other,NORTH COAST COMMUNITY SERVICES SOCIETY,North Coast Community Services Society,1982-04-01 0:00,1,710 FRASER STREET,PRINCE RUPERT,BC,V8J1P9,CA,(250)627-7166,SBEAL.NCCS@CITYWEST.CA,WWW.NORTHCCS.COM
105215768RR0001,C,1,Organizations Relieving Poverty,99,Other,THE GORGE VIEW SOCIETY,THE GORGE VIEW SOCIETY,1991-01-01 0:00,1,11 CHOWN PL,VICTORIA,BC,V9A1H5,CA,,,
105242440RR0001,C,1,Organizations Relieving Poverty,9,Providing low-cost housing,THE PRESBYTERIAN SENIOR CITIZENS' HOUSING SOCIETY,THE PRESBYTERIAN SENIOR CITIZENS' HOUSING SOCIETY,1998-01-01 0:00,1,101 - 901 COLBORNE ST,NEW WESTMINSTER,BC,V3L5E9,CA,(604)521-1428,DUNWOODPLACE@TELUS.NET,
105272967RR0001,C,200,Public Amenities,9,Providing low-cost housing,THORNTON CREEK ENHANCEMENT SOCIETY,THORNTON CREEK ENHANCEMENT SOCIETY,1991-04-01 0:00,1,5155 ARGYLE STREET,PORT ALBERNI,BC,V9Y1V3,CA,(250)726-7566,,
