Direct sales,All farms reporting 5,Farms reporting unprocessed agricultural products sold,Farms reporting value-added products sold,"Farms reporting using farm gate sales, stands, kiosks, U-pick",Farms reporting using farmers' markets,Farms reporting using Community Supported Agriculture (CSA),Farms reporting using other methods
Geography 1 2 3 4,2016,2016,2016,2016,2016,2016,2016
,Number,,,,,,
"North Saanich, British Columbia [CCS590117005]",45,44,9,41,17,3,0
"Central Saanich, British Columbia [CCS590117015]",119,118,11,114,20,6,1
"Saanich, British Columbia [CCS590117021]",150,148,20,135,21,5,7
"Saltspring Island, British Columbia [CCS590117027]",126,122,22,115,24,12,2
"Southern Gulf Islands, British Columbia [CCS590117029]",55,52,10,49,21,6,3
"Juan de Fuca (Part 2), British Columbia [CCS590117056]",121,121,12,107,29,11,8
"North Cowichan, British Columbia [CCS590119008]",195,187,26,182,34,16,7
"Cowichan Valley G, British Columbia [CCS590119015]",39,38,7,38,10,1,0
"Cowichan Valley F, British Columbia [CCS590119033]",8,8,0,8,1,0,0
"Cowichan Valley B, British Columbia [CCS590119046]",98,96,9,93,16,5,2
"Nanaimo, British Columbia [CCS590121007]",117,117,7,110,27,4,4
"Nanaimo C, British Columbia [CCS590121016]",33,32,5,32,5,0,3
"Nanaimo E, British Columbia [CCS590121030]",15,15,3,14,4,1,0
"Nanaimo F, British Columbia [CCS590121032]",52,50,6,47,11,0,2
"Nanaimo G, British Columbia [CCS590121034]",28,27,6,25,9,0,0
"Nanaimo H, British Columbia [CCS590121036]",15,15,2,12,4,0,0
"Alberni-Clayoquot B, British Columbia [CCS590123033]",22,22,2,20,6,1,0
"Alberni-Clayoquot D, British Columbia [CCS590123035]",9,9,3,8,1,0,0
"Alberni-Clayoquot F, British Columbia [CCS590123039]",14,14,1,13,5,0,0
"Alberni-Clayoquot A, British Columbia [CCS590123047]",0,0,0,0,0,0,0
"Strathcona D, [Oyster Bay - Buttle Lake], British Columbia [CCS590124042]",26,26,0,24,7,2,1
"Strathcona C, British Columbia [CCS590124054]",20,20,4,18,8,2,1
"Comox Valley A, British Columbia [CCS590126021]",59,57,15,49,21,3,2
"Comox Valley B, [Lazo North], British Columbia [CCS590126022]",65,65,11,59,16,2,0
"Comox Valley C, [Puntledge - Black Creek], British Columbia [CCS590126024]",88,83,18,80,24,2,2
"Powell River A, British Columbia [CCS590127010]",23,23,3,20,9,0,1
"Powell River C, British Columbia [CCS590127016]",15,15,2,13,6,0,0
"Powell River E, British Columbia [CCS590127020]",19,18,6,18,10,0,0
"Mount Waddington C, British Columbia [CCS590143031]",5,5,1,3,3,0,1
"Central Coast A, British Columbia [CCS590145006]",12,12,1,11,2,0,0
"Fraser Valley B, British Columbia [CCS590209016]",19,18,2,18,1,1,1
"Fraser Valley D, British Columbia [CCS590209034]",30,29,4,25,8,1,1
