Farms reporting organic products for sale 8,Organic products for sale,,Certified organic products for sale,,Transitional organic products for sale,
Geography 1 2 3 4 5 6 7,2011,2016,2011,2016,2011,2016
,Number,,,,,
"North Saanich, British Columbia [CCS590117005]",5,4,4,2,2,2
"Central Saanich, British Columbia [CCS590117015]",6,6,5,5,1,1
"Saanich, British Columbia [CCS590117021]",10,4,5,3,5,1
"Saltspring Island, British Columbia [CCS590117027]",17,13,12,11,5,2
"Southern Gulf Islands, British Columbia [CCS590117029]",7,3,5,2,2,1
"Juan de Fuca (Part 2), British Columbia [CCS590117056]",7,10,3,3,4,7
"North Cowichan, British Columbia [CCS590119008]",10,9,8,6,2,3
"Cowichan Valley G, British Columbia [CCS590119015]",1,1,0,1,1,0
"Cowichan Valley F, British Columbia [CCS590119033]",1,1,1,0,0,1
"Cowichan Valley B, British Columbia [CCS590119046]",7,8,6,6,2,3
"Nanaimo, British Columbia [CCS590121007]",1,1,1,1,0,0
"Nanaimo C, British Columbia [CCS590121016]",0,0,0,0,0,0
"Nanaimo E, British Columbia [CCS590121030]",0,1,0,1,0,0
"Nanaimo F, British Columbia [CCS590121032]",1,1,1,0,0,1
"Nanaimo G, British Columbia [CCS590121034]",1,6,1,4,0,2
"Nanaimo H, British Columbia [CCS590121036]",1,0,1,0,0,0
"Alberni-Clayoquot B, British Columbia [CCS590123033]",0,1,0,0,0,1
"Alberni-Clayoquot D, British Columbia [CCS590123035]",0,1,0,1,0,0
"Alberni-Clayoquot F, British Columbia [CCS590123039]",0,0,0,0,0,0
"Alberni-Clayoquot A, British Columbia [CCS590123047]",0,0,0,0,0,0
"Strathcona D, [Oyster Bay - Buttle Lake], British Columbia [CCS590124042]",2,2,2,2,0,0
"Strathcona C, British Columbia [CCS590124054]",2,2,1,0,1,2
"Comox Valley A, British Columbia [CCS590126021]",6,3,6,3,0,0
"Comox Valley B, [Lazo North], British Columbia [CCS590126022]",2,3,2,2,0,1
"Comox Valley C, [Puntledge - Black Creek], British Columbia [CCS590126024]",4,5,4,4,0,1
"Powell River A, British Columbia [CCS590127010]",1,3,1,2,0,1
"Powell River C, British Columbia [CCS590127016]",0,0,0,0,0,0
"Powell River E, British Columbia [CCS590127020]",1,1,0,1,1,0
"Mount Waddington C, British Columbia [CCS590143031]",..,0,..,0,..,0
"Central Coast A, British Columbia [CCS590145006]",0,0,0,0,0,0
"Fraser Valley B, British Columbia [CCS590209016]",2,1,1,1,1,0
"Fraser Valley D, British Columbia [CCS590209034]",9,5,8,4,2,1
"Fraser Valley E, British Columbia [CCS590209036]",29,31,23,27,6,4
"Abbotsford, British Columbia [CCS590209052]",32,37,26,32,7,6
"Fraser Valley F, British Columbia [CCS590209060]",2,3,0,2,2,2
"Fraser Valley G, British Columbia [CCS590209062]",1,1,1,1,1,1
"Langley, British Columbia [CCS590215001]",18,16,16,13,2,3
"Surrey, British Columbia [CCS590215004]",8,6,8,5,0,1
"Delta, British Columbia [CCS590215011]",5,8,5,6,1,3
"Richmond, British Columbia [CCS590215015]",1,2,1,2,0,0
"Greater Vancouver A, British Columbia [CCS590215020]",1,0,0,0,1,0
"Vancouver, British Columbia [CCS590215022]",0,3,0,2,0,1
"Burnaby, British Columbia [CCS590215025]",1,2,1,2,0,0
"Pitt Meadows, British Columbia [CCS590215070]",4,4,2,3,2,1
"Maple Ridge, British Columbia [CCS590215075]",2,5,2,2,0,4
"Sunshine Coast A, British Columbia [CCS590229018]",3,2,3,2,0,0
"Squamish-Lillooet C, British Columbia [CCS590231017]",..,12,..,10,..,2
"Squamish-Lillooet D, British Columbia [CCS590231021] (Terminated)",13t,..t,12t,..t,2t,..t
"Squamish-Lillooet B, British Columbia [CCS590231034]",3,7,3,5,0,2
"Okanagan-Similkameen A, British Columbia [CCS590307022]",3,4,2,4,1,0
"Okanagan-Similkameen B, British Columbia [CCS590307026]",49,42,49,40,1,3
"Okanagan-Similkameen C, British Columbia [CCS590307028]",20,12,16,12,4,0
"Okanagan-Similkameen D, British Columbia [CCS590307047]",9,16,8,13,1,3
"Okanagan-Similkameen E, British Columbia [CCS590307049]",9,5,8,3,1,2
"Okanagan-Similkameen F, British Columbia [CCS590307051]",8,8,8,4,0,4
"Okanagan-Similkameen G, British Columbia [CCS590307053]",29,24,29,23,0,2
"Okanagan-Similkameen H, British Columbia [CCS590307055]",3,0,3,0,0,0
"Thompson-Nicola M (Beautiful Nicola Valley - North), British Columbia [CCS590333008]",1,1,1,1,0,0
"Thompson-Nicola N (Beautiful Nicola Valley - South), British Columbia [CCS590333012]",1,0,1,0,0,0
"Thompson-Nicola E (Bonaparte Plateau), British Columbia [CCS590333032]",1,0,1,0,0,0
"Thompson-Nicola I (Blue Sky Country), British Columbia [CCS590333037]",10,9,7,8,3,1
"Thompson-Nicola J (Copper Desert Country), British Columbia [CCS590333039]",1,1,1,1,0,0
"Thompson-Nicola P (Rivers and the Peaks), British Columbia [CCS590333044]",6,3,4,2,2,1
"Thompson-Nicola L (Grasslands), British Columbia [CCS590333060]",8,8,5,5,3,3
"Thompson-Nicola A (Wells Gray Country), British Columbia [CCS590333068]",1,0,0,0,1,0
"Thompson-Nicola B (Thompson Headwaters), British Columbia [CCS590333070]",0,0,0,0,0,0
"Thompson-Nicola O (Lower North Thompson), British Columbia [CCS590333072]",3,0,3,0,0,0
"Central Okanagan, British Columbia [CCS590335012]",34,25,22,21,13,4
"Central Okanagan J, British Columbia [CCS590335020]",11,12,8,7,4,5
"North Okanagan B, British Columbia [CCS590337017]",6,4,4,2,3,2
"North Okanagan D, British Columbia [CCS590337022]",4,6,3,5,1,1
"North Okanagan E, British Columbia [CCS590337023]",1,0,1,0,0,0
"Spallumcheen, British Columbia [CCS590337024]",10,16,10,15,1,1
"North Okanagan F, British Columbia [CCS590337041]",11,6,10,6,1,0
"Columbia-Shuswap A, British Columbia [CCS590339011]",1,0,0,0,1,0
"Columbia-Shuswap C, British Columbia [CCS590339037]",5,6,5,6,0,0
"Columbia-Shuswap D, British Columbia [CCS590339039]",11,12,8,10,3,2
"Columbia-Shuswap E, British Columbia [CCS590339043]",0,1,0,1,0,0
"Columbia-Shuswap F, British Columbia [CCS590339044]",2,1,2,1,0,0
"East Kootenay A, British Columbia [CCS590401017]",1,1,1,1,0,0
"East Kootenay B, British Columbia [CCS590401019]",0,0,0,0,0,0
"East Kootenay C, British Columbia [CCS590401035]",1,1,1,1,0,0
"East Kootenay E, British Columbia [CCS590401037]",0,0,0,0,0,0
"East Kootenay F, British Columbia [CCS590401046]",0,1,0,1,0,0
"East Kootenay G, British Columbia [CCS590401048]",0,0,0,0,0,0
"Central Kootenay A, British Columbia [CCS590403010]",1,1,0,1,1,0
"Central Kootenay B, British Columbia [CCS590403013]",8,12,8,12,1,0
"Central Kootenay C, British Columbia [CCS590403017]",1,1,1,1,0,0
