Cattle and calves,Beef cows,,,,Dairy cows,,,
Unit of measure,Number of farms reporting,,Number of animals,,Number of farms reporting,,Number of animals,
Geography 1 2 3 4,2011,2016,2011,2016,2011,2016,2011,2016
"North Saanich, British Columbia [CCS590117005]",6,5,x,x,3,3,x,x
"Central Saanich, British Columbia [CCS590117015]",11,11,x,x,1,1,x,x
"Saanich, British Columbia [CCS590117021]",20,16,x,x,2,2,x,x
"Saltspring Island, British Columbia [CCS590117027]",16,11,43,49,4,4,22,31
"Southern Gulf Islands, British Columbia [CCS590117029]",11,11,122,90,0,0,0,0
"Juan de Fuca (Part 2), British Columbia [CCS590117056]",24,13,x,x,1,1,x,x
"North Cowichan, British Columbia [CCS590119008]",79,64,665,497,30,25,"2,489","2,204"
"Cowichan Valley G, British Columbia [CCS590119015]",14,12,x,x,3,3,x,x
"Cowichan Valley F, British Columbia [CCS590119033]",4,0,13,0,0,0,0,0
"Cowichan Valley B, British Columbia [CCS590119046]",15,19,x,x,8,14,x,x
"Nanaimo, British Columbia [CCS590121007]",31,25,x,x,1,1,x,x
"Nanaimo C, British Columbia [CCS590121016]",13,8,50,46,0,0,0,0
"Nanaimo E, British Columbia [CCS590121030]",3,4,x,55,0,0,0,0
"Nanaimo F, British Columbia [CCS590121032]",14,15,x,x,2,3,x,x
"Nanaimo G, British Columbia [CCS590121034]",4,4,x,x,1,2,x,x
"Nanaimo H, British Columbia [CCS590121036]",2,4,x,63,0,0,0,0
"Alberni-Clayoquot B, British Columbia [CCS590123033]",9,10,x,x,1,1,x,x
"Alberni-Clayoquot D, British Columbia [CCS590123035]",11,3,x,63,1,0,x,0
"Alberni-Clayoquot F, British Columbia [CCS590123039]",3,3,x,37,1,0,x,0
"Alberni-Clayoquot A, British Columbia [CCS590123047]",0,0,0,0,0,0,0,0
"Strathcona D, [Oyster Bay - Buttle Lake], British Columbia [CCS590124042]",4,1,55,x,0,0,0,0
"Strathcona C, British Columbia [CCS590124054]",4,3,x,6,3,3,x,4
"Comox Valley A, British Columbia [CCS590126021]",18,14,x,192,5,0,x,0
"Comox Valley B, [Lazo North], British Columbia [CCS590126022]",6,20,x,362,2,6,x,682
"Comox Valley C, [Puntledge - Black Creek], British Columbia [CCS590126024]",57,34,543,493,16,10,"1,630",787
"Powell River A, British Columbia [CCS590127010]",3,6,8,35,3,0,8,0
"Powell River C, British Columbia [CCS590127016]",6,5,x,x,2,1,x,x
"Powell River E, British Columbia [CCS590127020]",5,4,x,x,2,1,x,x
"Mount Waddington C, British Columbia [CCS590143031]",..,1,..,x,..,0,..,0
"Central Coast A, British Columbia [CCS590145006]",8,6,94,x,0,2,0,x
"Fraser Valley B, British Columbia [CCS590209016]",15,13,x,x,2,2,x,x
"Fraser Valley D, British Columbia [CCS590209034]",16,14,156,273,43,33,"5,777","5,724"
"Fraser Valley E, British Columbia [CCS590209036]",87,72,"1,589","1,286",148,118,"19,349","19,405"
"Abbotsford, British Columbia [CCS590209052]",92,86,837,892,92,97,"13,886","16,118"
"Fraser Valley F, British Columbia [CCS590209060]",26,11,169,x,11,4,833,x
"Fraser Valley G, British Columbia [CCS590209062]",5,4,x,62,28,31,x,"4,985"
"Langley, British Columbia [CCS590215001]",144,104,"1,003",981,31,28,"2,332","1,714"
"Surrey, British Columbia [CCS590215004]",33,21,190,413,13,13,"1,997","3,113"
"Delta, British Columbia [CCS590215011]",7,8,101,99,12,11,"1,646","2,103"
"Richmond, British Columbia [CCS590215015]",2,3,x,38,3,3,452,455
"Greater Vancouver A, British Columbia [CCS590215020]",1,2,x,x,0,0,0,0
"Vancouver, British Columbia [CCS590215022]",1,0,x,0,0,0,0,0
"Burnaby, British Columbia [CCS590215025]",2,0,x,0,0,0,0,0
"Pitt Meadows, British Columbia [CCS590215070]",6,2,50,x,8,6,672,x
"Maple Ridge, British Columbia [CCS590215075]",28,16,95,62,4,6,276,267
"Sunshine Coast A, British Columbia [CCS590229018]",3,4,11,18,0,0,0,0
"Squamish-Lillooet C, British Columbia [CCS590231017]",..,18,..,392,..,0,..,0
