Egg production,Table eggs,,,,Hatching eggs 8,,,
Unit of measure,Number of farms reporting,,Number of eggs (dozens),,Number of farms reporting,,Number of eggs (dozens),
Geography 1 2 3 4 5 6 7,2011,2016,2011,2016,2011,2016,2011,2016
"North Saanich, British Columbia [CCS590117005]",27,31,x,x,0,4,0,44
"Central Saanich, British Columbia [CCS590117015]",51,81,"614,169","682,794",2,3,x,27
"Saanich, British Columbia [CCS590117021]",123,100,"253,229","87,081",5,3,x,75
"Saltspring Island, British Columbia [CCS590117027]",81,74,"44,176","53,918",9,7,114,68
"Southern Gulf Islands, British Columbia [CCS590117029]",20,24,x,x,0,0,0,0
"Juan de Fuca (Part 2), British Columbia [CCS590117056]",96,94,"496,238","547,812",8,6,910,54
"North Cowichan, British Columbia [CCS590119008]",107,127,"1,786,701","2,084,303",7,12,x,"1,179"
"Cowichan Valley G, British Columbia [CCS590119015]",28,28,"17,232","21,316",1,0,x,0
"Cowichan Valley F, British Columbia [CCS590119033]",12,8,"7,481","2,582",2,1,x,x
"Cowichan Valley B, British Columbia [CCS590119046]",77,65,"1,345,329","71,598",8,7,x,x
"Nanaimo, British Columbia [CCS590121007]",68,77,"348,254",x,4,10,x,82
"Nanaimo C, British Columbia [CCS590121016]",14,19,"14,830","8,826",1,1,x,x
"Nanaimo E, British Columbia [CCS590121030]",10,8,"4,399",x,0,2,0,x
"Nanaimo F, British Columbia [CCS590121032]",30,37,"15,885","25,308",5,4,263,88
"Nanaimo G, British Columbia [CCS590121034]",13,15,"17,329","17,516",0,1,0,x
"Nanaimo H, British Columbia [CCS590121036]",9,8,"5,113","4,971",2,2,x,x
"Alberni-Clayoquot B, British Columbia [CCS590123033]",15,20,"22,256","10,872",0,2,0,x
"Alberni-Clayoquot D, British Columbia [CCS590123035]",2,2,x,x,1,1,x,x
"Alberni-Clayoquot F, British Columbia [CCS590123039]",6,10,x,"2,151",1,0,x,0
"Alberni-Clayoquot A, British Columbia [CCS590123047]",0,0,0,0,0,0,0,0
"Strathcona D, [Oyster Bay - Buttle Lake], British Columbia [CCS590124042]",20,23,"6,953","10,662",3,1,x,x
"Strathcona C, British Columbia [CCS590124054]",16,15,"19,045","5,234",1,1,x,x
"Comox Valley A, British Columbia [CCS590126021]",47,42,"21,858","21,662",6,4,78,x
"Comox Valley B, [Lazo North], British Columbia [CCS590126022]",15,35,"12,599","24,951",0,0,0,0
"Comox Valley C, [Puntledge - Black Creek], British Columbia [CCS590126024]",55,63,"41,339","40,094",3,2,13,x
"Powell River A, British Columbia [CCS590127010]",16,16,"13,514","31,799",0,3,0,x
"Powell River C, British Columbia [CCS590127016]",8,9,"6,190","5,160",0,1,0,x
"Powell River E, British Columbia [CCS590127020]",12,15,"28,223","5,530",1,0,x,0
"Mount Waddington C, British Columbia [CCS590143031]",..,3,..,x,..,1,..,x
"Central Coast A, British Columbia [CCS590145006]",5,6,"3,398","3,892",0,1,0,x
"Fraser Valley B, British Columbia [CCS590209016]",9,13,x,x,0,2,0,x
"Fraser Valley D, British Columbia [CCS590209034]",11,16,x,x,0,1,0,x
"Fraser Valley E, British Columbia [CCS590209036]",119,160,"7,081,636","10,493,328",34,30,x,"3,047,410"
"Abbotsford, British Columbia [CCS590209052]",144,180,"39,006,769","39,145,196",28,31,"5,734,349","4,780,959"
"Fraser Valley F, British Columbia [CCS590209060]",50,48,"69,949",x,2,10,x,x
"Fraser Valley G, British Columbia [CCS590209062]",5,5,"1,140","1,115",1,2,x,x
"Langley, British Columbia [CCS590215001]",212,224,"5,655,928","6,253,375",22,16,"642,380",x
"Surrey, British Columbia [CCS590215004]",65,51,"43,249","62,075",6,9,204,x
"Delta, British Columbia [CCS590215011]",12,9,"14,545","8,922",1,0,x,0
"Richmond, British Columbia [CCS590215015]",10,10,x,x,1,1,x,x
"Greater Vancouver A, British Columbia [CCS590215020]",14,10,x,"6,490",1,0,x,0
"Vancouver, British Columbia [CCS590215022]",3,4,"2,078",x,0,0,0,0
"Burnaby, British Columbia [CCS590215025]",0,1,0,x,0,0,0,0
"Pitt Meadows, British Columbia [CCS590215070]",10,11,"9,480","9,713",0,1,0,x
"Maple Ridge, British Columbia [CCS590215075]",67,64,"374,691","133,546",9,5,151,387
"Sunshine Coast A, British Columbia [CCS590229018]",38,42,"46,400","25,574",5,4,x,95
"Squamish-Lillooet C, British Columbia [CCS590231017]",..,25,..,"9,716",..,2,..,x
"Squamish-Lillooet D, British Columbia [CCS590231021] (Terminated)",25t,..t,"8,755t",..t,1t,..t,xt,..t
"Squamish-Lillooet B, British Columbia [CCS590231034]",8,7,"1,131","1,723",0,2,0,x
"Okanagan-Similkameen A, British Columbia [CCS590307022]",3,2,"1,508",x,0,0,0,0
"Okanagan-Similkameen B, British Columbia [CCS590307026]",5,5,"2,576","5,024",1,0,x,0
"Okanagan-Similkameen C, British Columbia [CCS590307028]",17,9,"8,432","4,394",0,1,0,x
"Okanagan-Similkameen D, British Columbia [CCS590307047]",20,19,"8,212","6,862",0,0,0,0
"Okanagan-Similkameen E, British Columbia [CCS590307049]",5,1,642,x,0,0,0,0
