Greenhouse products and mushrooms,Total greenhouse area in use on census day 8 9,,,,,,Greenhouse vegetables 10,,,,,,Total growing area for mushrooms,,,,,
Unit of measure,Number of farms reporting,,Square feet,,Square metres,,Number of farms reporting,,Square feet,,Square metres,,Number of farms reporting,,Square feet,,Square metres,
Geography 1 2 3 4 5 6 7,2011,2016,2011,2016,2011,2016,2011,2016,2011,2016,2011,2016,2011,2016,2011,2016,2011,2016
"North Saanich, British Columbia [CCS590117005]",17,10,"382,840","18,891","35,567","1,755",7,5,"37,770","3,706","3,509",344,1,0,x,0,x,0
"Central Saanich, British Columbia [CCS590117015]",24,21,"556,270","495,315","51,679","46,016",7,10,"220,976","59,092","20,529","5,490",1,1,x,x,x,x
"Saanich, British Columbia [CCS590117021]",34,37,"325,992","384,178","30,286","35,691",17,28,"125,821","124,248","11,689","11,543",2,4,x,632,x,59
"Saltspring Island, British Columbia [CCS590117027]",31,41,"67,198","92,870","6,243","8,628",23,32,"43,888","46,606","4,077","4,330",4,2,"1,110",x,103,x
"Southern Gulf Islands, British Columbia [CCS590117029]",13,19,"42,036","19,627","3,905","1,823",11,17,"21,236","16,895","1,973","1,570",0,0,0,0,0,0
"Juan de Fuca (Part 2), British Columbia [CCS590117056]",26,26,"79,682","125,165","7,403","11,628",19,20,"61,768","18,985","5,738","1,764",1,2,x,x,x,x
"North Cowichan, British Columbia [CCS590119008]",33,33,"102,269",x,"9,501",x,16,21,"22,689",x,"2,108",x,0,0,0,0,0,0
"Cowichan Valley G, British Columbia [CCS590119015]",6,7,"111,300",x,"10,340",x,2,3,x,x,x,x,0,0,0,0,0,0
"Cowichan Valley F, British Columbia [CCS590119033]",4,2,"15,036",x,"1,397",x,1,2,x,x,x,x,0,0,0,0,0,0
"Cowichan Valley B, British Columbia [CCS590119046]",14,14,"125,900","109,207","11,696","10,146",7,11,"95,582",x,"8,880",x,1,0,x,0,x,0
"Nanaimo, British Columbia [CCS590121007]",14,23,"308,173","155,809","28,630","14,475",7,15,x,x,x,x,0,1,0,x,0,x
"Nanaimo C, British Columbia [CCS590121016]",3,7,x,x,x,x,0,5,0,"3,296",0,306,0,0,0,0,0,0
"Nanaimo E, British Columbia [CCS590121030]",3,5,x,x,x,x,1,4,x,x,x,x,0,0,0,0,0,0
"Nanaimo F, British Columbia [CCS590121032]",13,11,"56,888","67,140","5,285","6,238",6,6,x,"17,340",x,"1,611",0,1,0,x,0,x
"Nanaimo G, British Columbia [CCS590121034]",11,12,"41,620","56,812","3,867","5,278",6,5,"21,265",x,"1,976",x,0,1,0,x,0,x
"Nanaimo H, British Columbia [CCS590121036]",7,6,"21,100",x,"1,960",x,4,6,x,x,x,x,0,0,0,0,0,0
"Alberni-Clayoquot B, British Columbia [CCS590123033]",4,6,x,x,x,x,4,5,x,x,x,x,0,0,0,0,0,0
"Alberni-Clayoquot D, British Columbia [CCS590123035]",2,4,x,"2,400",x,223,2,3,x,x,x,x,0,0,0,0,0,0
"Alberni-Clayoquot F, British Columbia [CCS590123039]",0,3,0,x,0,x,0,2,0,x,0,x,0,0,0,0,0,0
"Alberni-Clayoquot A, British Columbia [CCS590123047]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Strathcona D, [Oyster Bay - Buttle Lake], British Columbia [CCS590124042]",10,12,"100,628","248,011","9,349","23,041",8,8,x,x,x,x,0,0,0,0,0,0
"Strathcona C, British Columbia [CCS590124054]",8,7,"9,060","4,330",842,402,5,5,"4,690",x,436,x,0,1,0,x,0,x
"Comox Valley A, British Columbia [CCS590126021]",12,17,"17,594","25,932","1,635","2,409",7,13,"7,566",x,703,x,3,0,"2,400",0,223,0
"Comox Valley B, [Lazo North], British Columbia [CCS590126022]",12,17,"144,368","120,184","13,412","11,165",6,11,"95,910","59,600","8,910","5,537",0,0,0,0,0,0
"Comox Valley C, [Puntledge - Black Creek], British Columbia [CCS590126024]",22,18,"344,070","257,511","31,965","23,924",13,14,"74,685",x,"6,938",x,0,2,0,x,0,x
"Powell River A, British Columbia [CCS590127010]",2,12,x,"32,714",x,"3,039",2,10,x,x,x,x,0,0,0,0,0,0
"Powell River C, British Columbia [CCS590127016]",4,6,"17,720",x,"1,646",x,3,5,x,"11,400",x,"1,059",0,0,0,0,0,0
"Powell River E, British Columbia [CCS590127020]",11,6,"16,433","6,749","1,527",627,8,2,x,x,x,x,2,3,x,"2,258",x,210
"Mount Waddington C, British Columbia [CCS590143031]",..,2,..,x,..,x,..,2,..,x,..,x,..,0,..,0,..,0
"Central Coast A, British Columbia [CCS590145006]",4,3,"9,965","4,877",926,453,4,3,"3,670",610,341,57,1,0,x,0,x,0
"Fraser Valley B, British Columbia [CCS590209016]",2,1,x,x,x,x,0,0,0,0,0,0,1,0,x,0,x,0
"Fraser Valley D, British Columbia [CCS590209034]",13,6,"521,987",x,"48,494",x,4,2,x,x,x,x,0,0,0,0,0,0
"Fraser Valley E, British Columbia [CCS590209036]",61,69,"4,546,219","6,228,738","422,358","578,669",17,24,"200,933","363,471","18,667","33,768",4,5,x,"65,330",x,"6,069"
"Abbotsford, British Columbia [CCS590209052]",68,62,"9,816,599","9,972,256","911,992","926,453",21,23,"7,908,238","8,415,764","734,699","781,850",11,9,"956,452","986,456","88,857","91,645"
"Fraser Valley F, British Columbia [CCS590209060]",10,14,"240,922","64,727","22,382","6,013",5,7,x,x,x,x,0,0,0,0,0,0
"Fraser Valley G, British Columbia [CCS590209062]",5,2,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0
"Langley, British Columbia [CCS590215001]",98,74,"9,928,872","9,987,067","922,422","927,829",23,27,"4,778,903","4,274,277","443,975","397,093",21,16,"1,159,922","1,167,827","107,760","108,495"
"Surrey, British Columbia [CCS590215004]",41,33,"5,101,524","5,957,800","473,947","553,498",12,9,"1,513,551","2,071,063","140,613","192,408",1,2,x,x,x,x
"Delta, British Columbia [CCS590215011]",23,20,"13,125,097","14,865,060","1,219,361","1,381,009",12,13,"12,223,795","13,899,123","1,135,628","1,291,271",0,0,0,0,0,0
"Richmond, British Columbia [CCS590215015]",34,32,"1,417,458","1,191,012","131,686","110,649",10,16,"384,866","548,668","35,755","50,973",1,0,x,0,x,0
"Greater Vancouver A, British Columbia [CCS590215020]",8,7,x,x,x,x,6,7,x,"50,222",x,"4,666",0,0,0,0,0,0
