Poultry inventory,"Broilers, roasters and Cornish 5",,,,Turkeys 6,,,,Other poultry,,,
Unit of measure,Number of farms reporting,,Number of birds,,Number of farms reporting,,Number of birds,,Number of farms reporting,,Number of birds,
Geography 1 2 3 4,2011,2016,2011,2016,2011,2016,2011,2016,2011,2016,2011,2016
,Number,,,,,,,,,,,
"North Saanich, British Columbia [CCS590117005]",5,5,x,x,1,4,x,218,6,13,92,315
"Central Saanich, British Columbia [CCS590117015]",10,13,x,x,5,3,30,62,14,15,160,324
"Saanich, British Columbia [CCS590117021]",14,17,"2,868","1,198",10,5,111,26,23,26,443,409
"Saltspring Island, British Columbia [CCS590117027]",25,23,"2,379","2,001",6,6,155,189,17,24,255,337
"Southern Gulf Islands, British Columbia [CCS590117029]",6,1,"2,121",x,3,1,x,x,4,8,38,72
"Juan de Fuca (Part 2), British Columbia [CCS590117056]",19,15,x,x,15,6,273,27,24,35,922,419
"North Cowichan, British Columbia [CCS590119008]",40,38,"32,178","87,919",16,21,780,405,38,48,"1,676",900
"Cowichan Valley G, British Columbia [CCS590119015]",14,8,"4,980",x,4,5,x,128,14,11,237,177
"Cowichan Valley F, British Columbia [CCS590119033]",2,0,x,0,5,1,x,x,5,4,64,84
"Cowichan Valley B, British Columbia [CCS590119046]",26,27,x,x,18,14,x,245,23,29,"1,017",636
"Nanaimo, British Columbia [CCS590121007]",13,15,x,x,14,9,249,625,22,27,315,482
"Nanaimo C, British Columbia [CCS590121016]",5,6,x,459,0,2,0,x,4,7,124,230
"Nanaimo E, British Columbia [CCS590121030]",5,5,x,x,0,0,0,0,2,2,x,x
"Nanaimo F, British Columbia [CCS590121032]",15,18,x,"1,194",13,7,243,149,11,18,171,225
"Nanaimo G, British Columbia [CCS590121034]",2,6,x,759,2,0,x,0,4,5,83,x
"Nanaimo H, British Columbia [CCS590121036]",3,3,x,167,2,2,x,x,3,6,x,138
"Alberni-Clayoquot B, British Columbia [CCS590123033]",2,9,x,366,3,8,x,184,2,8,x,153
"Alberni-Clayoquot D, British Columbia [CCS590123035]",1,3,x,82,1,1,x,x,4,5,72,66
"Alberni-Clayoquot F, British Columbia [CCS590123039]",2,0,x,0,2,0,x,0,1,4,x,10
"Alberni-Clayoquot A, British Columbia [CCS590123047]",0,0,0,0,0,0,0,0,0,0,0,0
"Strathcona D, [Oyster Bay - Buttle Lake], British Columbia [CCS590124042]",9,2,459,x,4,3,x,15,5,5,37,90
"Strathcona C, British Columbia [CCS590124054]",6,5,530,x,1,2,x,x,10,7,266,36
"Comox Valley A, British Columbia [CCS590126021]",15,10,x,677,11,8,x,184,19,16,269,211
"Comox Valley B, [Lazo North], British Columbia [CCS590126022]",1,15,x,"10,669",2,3,x,x,5,10,80,215
"Comox Valley C, [Puntledge - Black Creek], British Columbia [CCS590126024]",30,23,"10,774","2,945",14,7,"1,789",x,19,16,"2,236",339
"Powell River A, British Columbia [CCS590127010]",7,8,727,980,3,4,x,100,8,7,76,48
"Powell River C, British Columbia [CCS590127016]",3,6,x,310,3,1,x,x,3,3,52,x
"Powell River E, British Columbia [CCS590127020]",4,3,x,58,5,1,x,x,4,4,55,x
"Mount Waddington C, British Columbia [CCS590143031]",..,0,..,0,..,0,..,0,..,3,..,x
"Central Coast A, British Columbia [CCS590145006]",3,0,118,0,2,1,x,x,2,1,x,x
"Fraser Valley B, British Columbia [CCS590209016]",4,1,x,x,0,1,0,x,2,3,x,x
"Fraser Valley D, British Columbia [CCS590209034]",8,6,x,"71,318",1,4,x,54,13,8,x,x
"Fraser Valley E, British Columbia [CCS590209036]",98,87,"2,654,239","2,806,055",26,17,"1,775",x,50,57,"195,355","240,343"
"Abbotsford, British Columbia [CCS590209052]",132,132,"5,914,958","7,038,195",31,27,"520,050",x,34,42,"229,212","212,308"
"Fraser Valley F, British Columbia [CCS590209060]",9,5,x,x,6,6,x,84,11,16,x,"1,196"
"Fraser Valley G, British Columbia [CCS590209062]",0,1,0,x,1,2,x,x,4,4,"1,969",x
"Langley, British Columbia [CCS590215001]",82,71,"1,806,285","2,665,586",31,33,"146,537","195,343",79,81,"16,182",x
"Surrey, British Columbia [CCS590215004]",34,24,"1,279,211","775,367",11,9,"157,342","68,822",19,16,"1,173",x
"Delta, British Columbia [CCS590215011]",3,2,x,x,0,1,0,x,0,5,0,x
"Richmond, British Columbia [CCS590215015]",3,2,x,x,4,3,x,x,9,3,195,x
"Greater Vancouver A, British Columbia [CCS590215020]",5,8,x,"242,380",3,1,76,x,6,5,334,x
"Vancouver, British Columbia [CCS590215022]",4,2,"462,935",x,0,0,0,0,1,1,x,x
"Burnaby, British Columbia [CCS590215025]",1,0,x,0,0,0,0,0,0,0,0,0
"Pitt Meadows, British Columbia [CCS590215070]",2,0,x,0,3,0,7,0,3,1,x,x
"Maple Ridge, British Columbia [CCS590215075]",17,17,x,"81,804",12,8,x,x,22,22,617,x
