Census SubDivision Code,Census SubDivision Name,Census Subdivision Label,Census Sub Division Type,Census Division Code,Census Division Name,Census Division Type,Census Consolidated SubDivision Code,Census Consolidated Subdivision Name,Total Population,Total Pop Age 0-4,Total Pop Age 5-9,Total Pop Age 10 -14,Total Pop Age 15-19,Total Pop Age 20-24,Total Pop Age 25-29,Total Pop Age 30-34,Total Pop Age 35-39,Total Pop Age 40-44,Total Pop Age 45-49,Total Pop Age 50-54,Total Pop Age 55-59,Total Pop Age 60-64,Total Pop Age 65-69,Total Pop Age 70-74,Total Pop Age 75-79,Total Pop Age 80-84,Total Pop Age 85+,Total Census Family Households,Total Lone-Parent Family Households,Lone Parent Family Households with 1 Child,Lone Parent Family Households with 2 Children,Lone Parent Family Households with 3+ Children,Total Lone-Parent Female Family Households,Female Lone Parent Family Households with 1 Child,Female Lone Parent Family Households with 2 Children,Female Lone Parent Family Households with 3+ Children,Total Lone-Parent Male Family Households,Male Lone Parent Family Households with 1 Child,Male Lone Parent Family Households with 2 Children,Male Lone Parent Family Households with 3+ Children,Total Househoulds by Income,Households Income 0-19999,Households Income 20000-39999,Households Income 40000-59999,Households Income 60000-79999,Households Income 80000-99999,Households 100000+,Average Household Income,Household Population 25-64,Household 25-64 Education No Certificate Diploma Degree,Household 25-64 Education High School Diploma or Eq,Household 25-64 Education Apprenticeship Trades or Diploma,Household 25-64 Education College CEGEP Certificate or Diploma,Household 25-64 Education University Diploma or Cert Below Bachelor,Household 25-64 Education University Diploma or Cert Bachelor Level or above,Household Population 15Years or Over for Labor Force,Household population In the Labour Force,Household Pop Age 15+ Employed,Household Pop Age 15+ Unemployed,Household Pop Age 15+ Not in Labour Force,Household Population for Visible Minority,Household Population with Visible Minority,Household Population Chinese Visible Minority,Household Population South Asian Visible Minority,Household Population Black Visible Minority,Household Population Filipino Visible Minority,Household Population Latin American Visible Minority,Household Population Chinese Southeast Asian Minority,Household Population Arab Visible Minority,Household Population West Asian Visible Minority,Household Population Korean Visible Minority,Household Population Japanese Visible Minority,Household Population Other Visible Minority,Household Population Multiple Visible Minority,Household Population NOT a Visible Minority,Household Population for Aboriginal Identity,Household Population with Aboriginal Identity,Household Population with Non-Aboriginal Identity,Household Population for Immigrant Status,Household Population Non-Immigrant,Household Population Non-Immigrant in Province of Birth,Household Population Non-Immigrant outside of Province of Birth,Household Population Immigrant,Household Population for Recent Immigrants (2017-Present),Household Population of Recent Immigrants (2017-Present),Total Households For Household Size,1 Person Household,2 Persons Household,3 Persons Household,4 Persons Household,5 or more Persons Household
5903017,"Central Kootenay C, BC (RDA)",Central Kootenay C,Regional district electoral area,5903,"Central Kootenay, BC (RD)",Regional district,5903017,"Central Kootenay C, BC",1591,64,69,65,74,68,54,73,72,67,81,98,128,165,180,160,90,50,33,503,38,23,10,5,27,17,7,3,11,6,3,2,686,57,146,135,122,85,141,71953.5698,734,96,235,99,236,28,40,1383,777,726,51,606,1581,44,0,12,22,10,0,0,0,0,0,0,0,0,1537,1581,67,1514,1581,1358,770,588,213,1581,14,686,172,333,77,57,47
5901803,"Kootenay 1, BC (IRI)",Kootenay 1,Indian reserve,5901,"East Kootenay, BC (RD)",Regional district,5901035,"East Kootenay C, BC",214,13,12,17,12,12,16,18,13,11,20,19,16,13,9,6,5,2,0,47,16,12,4,0,16,14,2,0,2,0,2,0,65,9,17,12,10,6,11,59146.92,126,35,20,23,48,0,0,172,125,114,11,47,214,0,0,0,0,0,0,0,0,0,0,0,0,0,214,214,199,15,214,169,105,64,45,214,11,65,13,19,7,13,13
5907047,"Okanagan-Similkameen D, BC (RDA)",Okanagan-Similkameen D,Regional district electoral area,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907047,"Okanagan-Similkameen D, BC",6173,165,196,243,269,245,169,216,293,300,363,471,573,661,645,584,388,221,171,2024,172,113,46,13,133,87,37,9,43,30,9,4,2722,164,459,404,375,324,996,100146.5739,3025,230,818,481,882,66,548,5523,3108,2897,211,2415,6123,141,29,43,0,10,12,3,0,0,11,24,0,9,5982,6123,386,5737,6123,5446,3199,2247,669,6123,29,2722,631,1377,321,263,130
5909027,"Harrison Hot Springs, BC (VL)",Harrison Hot Springs,Village,5909,"Fraser Valley, BC (RD)",Regional district,5909034,"Fraser Valley D, BC",1618,40,50,56,59,58,44,56,72,73,85,104,142,166,173,186,136,73,45,537,45,35,8,2,32,27,4,1,13,8,4,1,837,84,150,189,134,80,200,74502.38093,728,53,248,81,229,18,99,1444,715,660,55,729,1590,94,19,16,16,18,3,0,0,0,22,0,0,0,1496,1590,115,1475,1590,1198,856,342,392,1590,80,837,297,403,74,50,13
5903047,"Central Kootenay G, BC (RDA)",Central Kootenay G,Regional district electoral area,5903,"Central Kootenay, BC (RD)",Regional district,5903047,"Central Kootenay G, BC",1662,63,88,94,86,66,68,96,126,129,124,120,148,148,123,86,50,28,19,403,66,43,11,12,52,36,7,9,15,8,4,3,644,100,169,118,70,57,130,64498.43332,959,121,309,174,253,37,65,1417,863,784,79,554,1662,43,0,11,8,0,10,0,0,0,0,0,14,0,1619,1662,80,1582,1662,1532,949,583,120,1662,0,644,196,238,70,85,55
5907051,"Okanagan-Similkameen F, BC (RDA)",Okanagan-Similkameen F,Regional district electoral area,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907051,"Okanagan-Similkameen F, BC",2149,69,89,117,136,120,82,78,73,105,139,164,219,235,199,151,85,47,41,690,43,31,8,4,32,24,4,4,13,9,4,0,807,30,85,88,72,91,441,128404.6283,1095,70,269,151,322,11,272,1874,1196,1115,81,678,2149,67,14,0,20,11,0,0,0,0,0,22,0,0,2082,2149,99,2050,2149,1857,1238,619,292,2149,18,807,101,383,129,124,70
5903058,"Central Kootenay J, BC (RDA)",Central Kootenay J,Regional district electoral area,5903,"Central Kootenay, BC (RD)",Regional district,5903058,"Central Kootenay J, BC",3487,138,159,175,187,173,152,206,214,210,262,282,322,286,253,205,137,78,48,1034,123,74,42,7,91,53,31,7,35,24,11,0,1458,97,229,197,179,167,589,95911.6529,1926,176,485,343,649,32,241,2990,1913,1756,157,1077,3462,71,0,9,10,18,0,14,0,0,0,8,0,12,3391,3462,212,3250,3462,3139,2251,888,254,3462,29,1458,381,598,231,167,81
5901003,"Elkford, BC (DM)",Elkford,District municipality,5901,"East Kootenay, BC (RD)",Regional district,5901017,"East Kootenay A, BC",2582,160,171,183,157,118,124,191,229,190,159,170,207,195,142,92,51,28,15,714,83,46,30,7,51,27,19,5,32,19,11,2,1012,29,67,81,71,106,658,128497.745,1465,113,489,296,365,33,169,2068,1433,1343,90,635,2582,95,3,14,11,29,9,22,0,0,0,0,7,0,2487,2582,134,2448,2582,2409,1164,1245,148,2582,0,1012,274,368,152,143,75
5903060,"Central Kootenay K, BC (RDA)",Central Kootenay K,Regional district electoral area,5903,"Central Kootenay, BC (RD)",Regional district,5903060,"Central Kootenay K, BC",1685,30,45,52,59,44,39,55,58,64,92,123,161,230,228,193,117,58,37,587,58,49,8,1,34,28,5,1,24,21,3,0,866,114,235,163,122,82,150,62918.70217,810,138,250,137,136,25,124,1542,770,711,59,772,1669,31,0,0,11,0,3,0,0,0,0,0,17,0,1638,1669,71,1598,1669,1427,812,615,242,1669,0,866,270,457,87,36,16
5909056,"Mission, BC (DM)",Mission,District municipality,5909,"Fraser Valley, BC (RD)",Regional district,5909060,"Fraser Valley F, BC",43456,2307,2580,2715,2708,2439,2607,2938,3120,2886,2860,3305,3468,2968,2279,1703,1079,727,767,10915,1865,1067,581,217,1539,869,502,168,475,301,115,59,14485,1021,2142,1903,1798,1781,5840,96180.33495,23503,2982,7794,3194,5629,691,3213,34472,22991,21591,1400,11481,42070,6661,274,4628,395,271,387,218,49,18,194,115,44,68,35409,42070,3359,38711,42070,34889,27431,7458,6750,42070,1436,14485,2988,4774,2513,2244,1966
5905052,"Kootenay Boundary D / Rural Grand Forks, BC (RDA)",Kootenay Boundary D / Rural Grand Forks,Regional district electoral area,5905,"Kootenay Boundary, BC (RD)",Regional district,5905052,"Kootenay Boundary D / Rural Grand Forks, BC",3171,92,127,148,151,111,97,102,112,126,178,238,290,345,349,304,200,124,77,958,92,66,21,5,64,50,12,2,31,19,9,3,1356,123,307,276,206,141,303,73390.59702,1479,106,472,239,416,44,202,2765,1355,1295,60,1410,3127,116,26,11,43,23,0,0,13,0,0,0,0,0,3011,3127,148,2979,3127,2755,1828,927,316,3127,0,1356,357,646,167,113,73
5915015,"Richmond, BC (CY)",Richmond,City,5915,"Greater Vancouver, BC (RD)",Regional district,5915015,"Richmond, BC",216320,9199,9051,9365,12187,13803,15913,15615,14202,13519,14474,16379,17272,15888,13208,10187,6610,4659,4789,57981,8638,5769,2388,481,8571,5625,2458,488,1742,1205,404,133,79185,8942,14393,11577,9861,8126,26286,92738.23038,123021,7637,30180,5322,21083,5035,53764,186835,119288,113359,5929,67547,214443,170221,117097,18678,1608,13673,1924,2261,2068,1597,1325,3709,597,5684,44222,214443,1974,212469,214443,71734,56482,15252,129490,214443,13203,79185,18211,24415,15773,12616,8170
